weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
301,"{'top_left': np.int64(45), 'top_right': np.int64(37), 'bottom_left': np.int64(100), 'bottom_right': np.int64(119)}","{'top_left': np.float64(0.16917293233082706), 'top_right': np.float64(0.13909774436090225), 'bottom_left': np.float64(0.37593984962406013), 'bottom_right': np.float64(0.4473684210526316)}","(np.float64(14.07641196013289), np.float64(23.84717607973422))","(np.float64(0.5027289985761747), np.float64(0.6445182724252492))","(np.float64(56.767342523813205), np.float64(49.193496760521406))","(np.float64(0.03931256407466288), np.float64(0.05849405084485304))"
263,"{'top_left': np.int64(49), 'top_right': np.int64(38), 'bottom_left': np.int64(52), 'bottom_right': np.int64(124)}","{'top_left': np.float64(0.18421052631578946), 'top_right': np.float64(0.14285714285714285), 'bottom_left': np.float64(0.19548872180451127), 'bottom_right': np.float64(0.46616541353383456)}","(np.float64(14.67680608365019), np.float64(25.749049429657795))","(np.float64(0.5435854105055626), np.float64(0.695920254855616))","(np.float64(92.40090213824112), np.float64(43.74725671905044))","(np.float64(0.06398954441706449), np.float64(0.055800072345727605))"
190,"{'top_left': np.int64(24), 'top_right': np.int64(36), 'bottom_left': np.int64(43), 'bottom_right': np.int64(87)}","{'top_left': np.float64(0.12631578947368421), 'top_right': np.float64(0.18947368421052632), 'bottom_left': np.float64(0.22631578947368422), 'bottom_right': np.float64(0.45789473684210524)}","(np.float64(10.7), np.float64(24.805263157894736))","(np.float64(0.5349999999999999), np.float64(0.6704125177809388))","(np.float64(74.01997229916897), np.float64(16.95736842105263))","(np.float64(0.05126036862823336), np.float64(0.03845208258742094))"
211,"{'top_left': np.int64(48), 'top_right': np.int64(68), 'bottom_left': np.int64(0), 'bottom_right': np.int64(95)}","{'top_left': np.float64(0.19433198380566802), 'top_right': np.float64(0.27530364372469635), 'bottom_left': np.float64(0.0), 'bottom_right': np.float64(0.38461538461538464)}","(np.float64(15.497630331753555), np.float64(19.85781990521327))","(np.float64(0.6199052132701423), np.float64(0.5366978352760343))","(np.float64(69.74281799600189), np.float64(30.392174479459133))","(np.float64(0.04829835041274369), np.float64(0.04495883798736558))"
247,"{'top_left': np.int64(42), 'top_right': np.int64(53), 'bottom_left': np.int64(75), 'bottom_right': np.int64(77)}","{'top_left': np.float64(0.14736842105263157), 'top_right': np.float64(0.18596491228070175), 'bottom_left': np.float64(0.2631578947368421), 'bottom_right': np.float64(0.27017543859649124)}","(np.float64(15.368421052631579), np.float64(23.020242914979757))","(np.float64(0.512280701754386), np.float64(0.6221687274318853))","(np.float64(73.15343637823928), np.float64(68.7104197741317))","(np.float64(0.050660274500165706), np.float64(0.0714988759356209))"
135,"{'top_left': np.int64(16), 'top_right': np.int64(24), 'bottom_left': np.int64(38), 'bottom_right': np.int64(57)}","{'top_left': np.float64(0.14035087719298245), 'top_right': np.float64(0.21052631578947367), 'bottom_left': np.float64(0.3333333333333333), 'bottom_right': np.float64(0.5)}","(np.float64(6.0), np.float64(24.0))","(np.float64(0.5), np.float64(0.6486486486486487))","(np.float64(60.666666666666664), np.float64(2.0))","(np.float64(0.0420129270544783), np.float64(0.011834319526627219))"
160,"{'top_left': np.int64(37), 'top_right': np.int64(43), 'bottom_left': np.int64(67), 'bottom_right': np.int64(13)}","{'top_left': np.float64(0.19473684210526315), 'top_right': np.float64(0.22631578947368422), 'bottom_left': np.float64(0.3526315789473684), 'bottom_right': np.float64(0.06842105263157895)}","(np.float64(9.05625), np.float64(20.63125))","(np.float64(0.4766447368421053), np.float64(0.5576013513513514))","(np.float64(68.89527343750001), np.float64(9.6030859375))","(np.float64(0.04771140819771469), np.float64(0.02400771484375))"
288,"{'top_left': np.int64(62), 'top_right': np.int64(54), 'bottom_left': np.int64(95), 'bottom_right': np.int64(77)}","{'top_left': np.float64(0.21754385964912282), 'top_right': np.float64(0.18947368421052632), 'bottom_left': np.float64(0.3333333333333333), 'bottom_right': np.float64(0.27017543859649124)}","(np.float64(14.100694444444445), np.float64(22.364583333333332))","(np.float64(0.47002314814814816), np.float64(0.6044481981981982))","(np.float64(66.09971788194444), np.float64(70.1113884066358))","(np.float64(0.04577542789608341), np.float64(0.07295669969473027))"
278,"{'top_left': np.int64(34), 'top_right': np.int64(60), 'bottom_left': np.int64(90), 'bottom_right': np.int64(94)}","{'top_left': np.float64(0.11929824561403508), 'top_right': np.float64(0.21052631578947367), 'bottom_left': np.float64(0.3157894736842105), 'bottom_right': np.float64(0.3298245614035088)}","(np.float64(15.23021582733813), np.float64(24.06115107913669))","(np.float64(0.507673860911271), np.float64(0.6331881862930707))","(np.float64(72.42431809947725), np.float64(64.24915894622431))","(np.float64(0.04761625121596137), np.float64(0.06685656498046234))"
70,"{'top_left': np.int64(16), 'top_right': np.int64(24), 'bottom_left': np.int64(12), 'bottom_right': np.int64(18)}","{'top_left': np.float64(0.14035087719298245), 'top_right': np.float64(0.21052631578947367), 'bottom_left': np.float64(0.10526315789473684), 'bottom_right': np.float64(0.15789473684210525)}","(np.float64(6.0), np.float64(17.5))","(np.float64(0.5), np.float64(0.47297297297297297))","(np.float64(16.25), np.float64(2.0))","(np.float64(0.011253462603878116), np.float64(0.011834319526627219))"
232,"{'top_left': np.int64(46), 'top_right': np.int64(66), 'bottom_left': np.int64(0), 'bottom_right': np.int64(120)}","{'top_left': np.float64(0.14743589743589744), 'top_right': np.float64(0.21153846153846154), 'bottom_left': np.float64(0.0), 'bottom_right': np.float64(0.38461538461538464)}","(np.float64(16.724137931034484), np.float64(25.698275862068964))","(np.float64(0.6689655172413793), np.float64(0.5353807471264368))","(np.float64(133.69344530321047), np.float64(30.56183115338882))","(np.float64(0.05568240120916721), np.float64(0.04520980939850417))"
199,"{'top_left': np.int64(38), 'top_right': np.int64(36), 'bottom_left': np.int64(38), 'bottom_right': np.int64(87)}","{'top_left': np.float64(0.16666666666666666), 'top_right': np.float64(0.15789473684210525), 'bottom_left': np.float64(0.16666666666666666), 'bottom_right': np.float64(0.3815789473684211)}","(np.float64(12.793969849246231), np.float64(24.045226130653266))","(np.float64(0.5562595586628796), np.float64(0.6327691087014017))","(np.float64(82.42509027549809), np.float64(27.088204843312035))","(np.float64(0.05419138085174102), np.float64(0.047028133408527836))"
219,"{'top_left': np.int64(80), 'top_right': np.int64(52), 'bottom_left': np.int64(9), 'bottom_right': np.int64(78)}","{'top_left': np.float64(0.3508771929824561), 'top_right': np.float64(0.22807017543859648), 'bottom_left': np.float64(0.039473684210526314), 'bottom_right': np.float64(0.34210526315789475)}","(np.float64(11.712328767123287), np.float64(17.570776255707763))","(np.float64(0.5092316855270994), np.float64(0.4748858447488585))","(np.float64(89.87969391797502), np.float64(33.25514480515419))","(np.float64(0.062243555344858044), np.float64(0.057734626397837135))"
344,"{'top_left': np.int64(62), 'top_right': np.int64(54), 'bottom_left': np.int64(119), 'bottom_right': np.int64(109)}","{'top_left': np.float64(0.21754385964912282), 'top_right': np.float64(0.18947368421052632), 'bottom_left': np.float64(0.41754385964912283), 'bottom_right': np.float64(0.3824561403508772)}","(np.float64(14.328488372093023), np.float64(24.502906976744185))","(np.float64(0.47761627906976745), np.float64(0.6622407291011942))","(np.float64(79.05813108436995), np.float64(61.61011864521363))","(np.float64(0.05474939825787392), np.float64(0.0641104252291505))"
312,"{'top_left': np.int64(59), 'top_right': np.int64(53), 'bottom_left': np.int64(92), 'bottom_right': np.int64(108)}","{'top_left': np.float64(0.20701754385964913), 'top_right': np.float64(0.18596491228070175), 'bottom_left': np.float64(0.32280701754385965), 'bottom_right': np.float64(0.37894736842105264)}","(np.float64(14.935897435897436), np.float64(23.91346153846154))","(np.float64(0.49786324786324787), np.float64(0.6463097713097714))","(np.float64(73.97648545364892), np.float64(62.374095989480594))","(np.float64(0.051230253084244406), np.float64(0.06490540685689968))"
185,"{'top_left': np.int64(26), 'top_right': np.int64(39), 'bottom_left': np.int64(48), 'bottom_right': np.int64(72)}","{'top_left': np.float64(0.18055555555555555), 'top_right': np.float64(0.2708333333333333), 'bottom_left': np.float64(0.3333333333333333), 'bottom_right': np.float64(0.5)}","(np.float64(6.0), np.float64(29.0))","(np.float64(0.5), np.float64(0.6041666666666666))","(np.float64(114.0), np.float64(2.0))","(np.float64(0.04748021657642649), np.float64(0.011834319526627219))"
168,"{'top_left': np.int64(29), 'top_right': np.int64(31), 'bottom_left': np.int64(28), 'bottom_right': np.int64(80)}","{'top_left': np.float64(0.1695906432748538), 'top_right': np.float64(0.18128654970760233), 'bottom_left': np.float64(0.16374269005847952), 'bottom_right': np.float64(0.4678362573099415)}","(np.float64(9.119047619047619), np.float64(24.38095238095238))","(np.float64(0.5364145658263305), np.float64(0.6589446589446589))","(np.float64(84.2953514739229), np.float64(10.962018140589569))","(np.float64(0.058376282184157136), np.float64(0.033833389322807314))"
303,"{'top_left': np.int64(50), 'top_right': np.int64(48), 'bottom_left': np.int64(101), 'bottom_right': np.int64(104)}","{'top_left': np.float64(0.17543859649122806), 'top_right': np.float64(0.16842105263157894), 'bottom_left': np.float64(0.3543859649122807), 'bottom_right': np.float64(0.3649122807017544)}","(np.float64(14.485148514851485), np.float64(24.09240924092409))","(np.float64(0.499487879822465), np.float64(0.6340107694980024))","(np.float64(68.38089947608623), np.float64(59.602914746920234))","(np.float64(0.044957856328787786), np.float64(0.06622546082991138))"
275,"{'top_left': np.int64(42), 'top_right': np.int64(45), 'bottom_left': np.int64(116), 'bottom_right': np.int64(72)}","{'top_left': np.float64(0.15), 'top_right': np.float64(0.16071428571428573), 'bottom_left': np.float64(0.4142857142857143), 'bottom_right': np.float64(0.2571428571428571)}","(np.float64(12.596363636363636), np.float64(25.181818181818183))","(np.float64(0.4665319865319865), np.float64(0.6295454545454546))","(np.float64(71.4796694214876), np.float64(42.7788958677686))","(np.float64(0.042522111494043786), np.float64(0.054564918198684434))"
302,"{'top_left': np.int64(77), 'top_right': np.int64(71), 'bottom_left': np.int64(34), 'bottom_right': np.int64(120)}","{'top_left': np.float64(0.22916666666666666), 'top_right': np.float64(0.2113095238095238), 'bottom_left': np.float64(0.10119047619047619), 'bottom_right': np.float64(0.35714285714285715)}","(np.float64(16.410596026490065), np.float64(24.943708609271525))","(np.float64(0.5860927152317881), np.float64(0.5196605960264901))","(np.float64(108.83457962370073), np.float64(60.49366255865969))","(np.float64(0.04532885448717232), np.float64(0.07193063324454185))"
296,"{'top_left': np.int64(58), 'top_right': np.int64(45), 'bottom_left': np.int64(90), 'bottom_right': np.int64(103)}","{'top_left': np.float64(0.21804511278195488), 'top_right': np.float64(0.16917293233082706), 'bottom_left': np.float64(0.3383458646616541), 'bottom_right': np.float64(0.38721804511278196)}","(np.float64(13.753378378378379), np.float64(23.52027027027027))","(np.float64(0.5093843843843844), np.float64(0.6189544807965861))","(np.float64(70.88472425127831), np.float64(49.09120480277575))","(np.float64(0.046604026463693826), np.float64(0.06261633265660171))"
242,"{'top_left': np.int64(64), 'top_right': np.int64(61), 'bottom_left': np.int64(76), 'bottom_right': np.int64(41)}","{'top_left': np.float64(0.2222222222222222), 'top_right': np.float64(0.21180555555555555), 'bottom_left': np.float64(0.2638888888888889), 'bottom_right': np.float64(0.1423611111111111)}","(np.float64(11.413223140495868), np.float64(25.09917355371901))","(np.float64(0.4962270930650377), np.float64(0.5228994490358126))","(np.float64(102.18024725087083), np.float64(23.126767297315755))","(np.float64(0.042557370783369776), np.float64(0.04015063766895097))"
256,"{'top_left': np.int64(40), 'top_right': np.int64(38), 'bottom_left': np.int64(69), 'bottom_right': np.int64(109)}","{'top_left': np.float64(0.17543859649122806), 'top_right': np.float64(0.16666666666666666), 'bottom_left': np.float64(0.3026315789473684), 'bottom_right': np.float64(0.4780701754385965)}","(np.float64(12.28125), np.float64(24.734375))","(np.float64(0.51171875), np.float64(0.6684966216216216))","(np.float64(75.695068359375), np.float64(30.2724609375))","(np.float64(0.05242040745109072), np.float64(0.0484359375))"
325,"{'top_left': np.int64(45), 'top_right': np.int64(91), 'bottom_left': np.int64(120), 'bottom_right': np.int64(69)}","{'top_left': np.float64(0.13392857142857142), 'top_right': np.float64(0.2708333333333333), 'bottom_left': np.float64(0.35714285714285715), 'bottom_right': np.float64(0.20535714285714285)}","(np.float64(13.064615384615385), np.float64(25.827692307692306))","(np.float64(0.4665934065934066), np.float64(0.538076923076923))","(np.float64(116.14261775147926), np.float64(49.97428639053254))","(np.float64(0.048372602145555714), np.float64(0.059422457063653435))"
182,"{'top_left': np.int64(46), 'top_right': np.int64(43), 'bottom_left': np.int64(0), 'bottom_right': np.int64(93)}","{'top_left': np.float64(0.1862348178137652), 'top_right': np.float64(0.17408906882591094), 'bottom_left': np.float64(0.0), 'bottom_right': np.float64(0.3765182186234818)}","(np.float64(15.824175824175825), np.float64(21.082417582417584))","(np.float64(0.6329670329670329), np.float64(0.5697950697950699))","(np.float64(69.29540514430624), np.float64(34.65040454051443))","(np.float64(0.0479885077176636), np.float64(0.05125799488241779))"
360,"{'top_left': np.int64(50), 'top_right': np.int64(52), 'bottom_left': np.int64(152), 'bottom_right': np.int64(106)}","{'top_left': np.float64(0.14619883040935672), 'top_right': np.float64(0.15204678362573099), 'bottom_left': np.float64(0.4444444444444444), 'bottom_right': np.float64(0.30994152046783624)}","(np.float64(16.852777777777778), np.float64(24.06388888888889))","(np.float64(0.4815079365079365), np.float64(0.6332602339181287))","(np.float64(59.6375848765432), np.float64(88.9199922839506))","(np.float64(0.03920945751252018), np.float64(0.06861110515736929))"
314,"{'top_left': np.int64(69), 'top_right': np.int64(56), 'bottom_left': np.int64(98), 'bottom_right': np.int64(91)}","{'top_left': np.float64(0.22697368421052633), 'top_right': np.float64(0.18421052631578946), 'bottom_left': np.float64(0.3223684210526316), 'bottom_right': np.float64(0.2993421052631579)}","(np.float64(16.248407643312103), np.float64(22.93949044585987))","(np.float64(0.5077627388535032), np.float64(0.6036708012068387))","(np.float64(75.84028763844375), np.float64(78.52428090389063))","(np.float64(0.04986212205025888), np.float64(0.07210677768952307))"
